time,open,high,low,close,Volume,Volume MA
1584046800,0.62353,0.63258,0.61231,0.61836,554439,268446.25
1584306000,0.61374,0.63027,0.60787,0.6118399999999999,570053,293471.85
1584392400,0.6118399999999999,0.61488,0.59587,0.5995699999999999,489153,312418.45
1584478800,0.5995699999999999,0.60285,0.5700999999999999,0.57701,608708,338015.95
1584565200,0.57701,0.59642,0.55063,0.57426,809547,370263.15
1584651600,0.57426,0.59856,0.56634,0.58067,768831,401402.95
1584910800,0.58048,0.58454,0.56997,0.58254,1030715,443723.7
1584997200,0.58254,0.59753,0.58122,0.5956,770277,473476.25
1585083600,0.5956,0.60734,0.59303,0.5959,570152,492015.45
1585170000,0.5959,0.60874,0.5870299999999999,0.6061,497704,505401.8
1585256400,0.6061,0.62002,0.60226,0.6164999999999999,512129,511732.05
1585515600,0.61555,0.61844,0.61116,0.6168899999999999,529872,522781.4
1585602000,0.6168899999999999,0.62139,0.6072,0.61353,650319,539235.1
1585688400,0.61353,0.61852,0.60387,0.60712,449565,551196.4
1585774800,0.60712,0.61192,0.60069,0.60582,458827,566779.75
1585861200,0.60582,0.60756,0.598,0.59908,370531,574940.75
1586120400,0.60182,0.6106699999999999,0.5991,0.60865,324940,566628.15
1586206800,0.60865,0.62084,0.6075,0.6167,371185,564666.45
1586293200,0.6167,0.62461,0.61155,0.62276,384513,567224.4
1586379600,0.62276,0.63631,0.6194999999999999,0.63368,324165,552281.25
1586466000,0.63368,0.63678,0.63123,0.6350399999999999,52892,527203.9
1586725200,0.63466,0.64091,0.63257,0.63815,180319,507717.2
1586811600,0.63815,0.64447,0.63735,0.6442,252668,495892.95
1586898000,0.6442,0.64437,0.62843,0.63175,279462,479430.65
1586984400,0.63175,0.6334,0.6263799999999999,0.63272,351232,456514.9
1587070800,0.63272,0.63851,0.63145,0.63609,320168,434081.75
1587330000,0.63609,0.63973,0.6332599999999999,0.63361,250011,395046.55
1587416400,0.63361,0.63468,0.62534,0.62803,329688,373017.1
1587502800,0.62803,0.63525,0.62762,0.63202,237338,356376.4
1587589200,0.63202,0.6406499999999999,0.62829,0.637,277650,345373.7
1587675600,0.637,0.63975,0.63371,0.6394,202243,329879.4
1587934800,0.63803,0.64719,0.63803,0.64644,193220,313046.8
1588021200,0.64644,0.6514,0.64343,0.64904,223952,291728.45
1588107600,0.64904,0.65573,0.64854,0.65551,221070,280303.7
1588194000,0.65551,0.65699,0.64901,0.65095,286168,271670.75
1588280400,0.65095,0.65112,0.64099,0.64162,202507,263269.55
1588539600,0.64115,0.6434799999999999,0.6372599999999999,0.6422,241617,259103.4
1588626000,0.6422,0.64761,0.64167,0.64308,206166,250852.45
1588712400,0.64308,0.64529,0.63935,0.6398199999999999,185520,240902.8
1588798800,0.6398199999999999,0.6506,0.63786,0.64948,209088,235148.95
1588885200,0.64948,0.65477,0.6491899999999999,0.65306,182465,241627.6
1589144400,0.6531,0.65614,0.64563,0.64893,200132,242618.25
1589230800,0.64893,0.65362,0.64322,0.64705,247064,242338.05
